id,artwork_id,artwork_color_id,device_color_id,image_1,image_2,image_3,image_4,image_5
113,5,11,3,https://cdn-image02.casetify.com/usr/8746/1688746/~v14/6705276_iphone11-pro-max__color_silver_16000091.png.350x350-w.m80.jpg,,,,
114,5,12,3,https://cdn-image02.casetify.com/usr/8746/1688746/~v14/6705276_iphone11-pro-max__color_silver_16000092.png.350x350-w.m80.jpg,,,,
115,5,13,3,https://cdn-image02.casetify.com/usr/8746/1688746/~v14/6705276_iphone11-pro-max__color_silver_16000093.png.350x350-w.m80.jpg,,,,
116,5,14,3,https://cdn-image02.casetify.com/usr/8746/1688746/~v14/6705276_iphone11-pro-max__color_silver_16000094.png.350x350-w.m80.jpg,,,,
117,5,15,3,https://cdn-image02.casetify.com/usr/8746/1688746/~v14/6705276_iphone11-pro-max__color_silver_16000095.png.350x350-w.m80.jpg,,,,
118,5,16,3,https://cdn-image02.casetify.com/usr/8746/1688746/~v14/6705276_iphone11-pro-max__color_silver_16000096.png.350x350-w.m80.jpg,,,,
119,5,17,3,https://cdn-image02.casetify.com/usr/8746/1688746/~v14/6705276_iphone11-pro-max__color_silver_16000097.png.350x350-w.m80.jpg,,,,
120,5,18,3,https://cdn-image02.casetify.com/usr/8746/1688746/~v14/6705276_iphone11-pro-max__color_silver_16000098.png.350x350-w.m80.jpg,,,,
121,5,11,4,https://cdn-image02.casetify.com/usr/8746/1688746/~v14/6705276_iphone11-pro-max__color_gold_16000091.png.350x350-w.m80.jpg,,,,
122,5,12,4,https://cdn-image02.casetify.com/usr/8746/1688746/~v14/6705276_iphone11-pro-max__color_gold_16000092.png.350x350-w.m80.jpg,,,,
123,5,13,4,https://cdn-image02.casetify.com/usr/8746/1688746/~v14/6705276_iphone11-pro-max__color_gold_16000093.png.350x350-w.m80.jpg,,,,
124,5,14,4,https://cdn-image02.casetify.com/usr/8746/1688746/~v14/6705276_iphone11-pro-max__color_gold_16000094.png.350x350-w.m80.jpg,,,,
